date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-14,10000.0,10000.0,10000.0,10000.0,814516880000,81451688,1412,10000.0,10000.0
2022-05-15,10000.0,10000.0,10000.0,10000.0,165978430000,16597843,875,10000.0,10000.0
2022-05-16,10000.0,10000.0,10000.0,10000.0,180060920000,18006092,1095,10000.0,10000.0
2022-05-17,10000.0,10000.0,10000.0,10000.0,141474250000,14147425,484,10000.0,10000.0
2022-05-18,10000.0,10000.0,10000.0,10000.0,19980270000,1998027,234,10000.0,10000.0
2022-05-21,10000.0,10000.0,10000.0,10000.0,32590760000,3259076,253,10000.0,10000.0
2022-05-22,10000.0,10000.0,10000.0,10000.0,17258470000,1725847,221,10000.0,10000.0
2022-05-23,10000.0,10000.0,10000.0,10000.0,9162840000,916284,145,10000.0,10000.0
2022-05-24,10000.0,10000.0,10000.0,10000.0,14975860000,1497586,225,10000.0,10000.0
2022-05-25,10000.0,10000.0,10000.0,10000.0,46578160000,4657816,667,10000.0,10000.0
2022-05-31,10190.0,10199.0,10029.0,10082.0,101470901156,10064062,743,10000.0,10031.0
2022-06-01,10030.0,10070.0,10020.0,10030.0,53799282559,5363876,520,10082.0,10021.0
2022-06-06,10020.0,10037.0,10000.0,10009.0,355951686389,35562171,1819,10030.0,10010.0
2022-06-07,10000.0,10020.0,10000.0,10003.0,9151074776,914801,202,10009.0,10000.0
2022-06-08,10010.0,10036.0,10000.0,10030.0,36623579227,3651270,227,10003.0,10035.0
2022-06-11,10060.0,10060.0,10000.0,10007.0,8221767215,821636,185,10030.0,10004.0
2022-06-12,10030.0,10065.0,10000.0,10027.0,17069482804,1702291,273,10007.0,10062.0
2022-06-13,10068.0,10230.0,10036.0,10166.0,58190173714,5724158,451,10027.0,10220.0
2022-06-14,10166.0,10218.0,10100.0,10128.0,22799585555,2251224,220,10166.0,10101.0
2022-06-15,10101.0,10150.0,10050.0,10079.0,10595741618,1051315,118,10128.0,10120.0
2022-06-18,10150.0,10150.0,10000.0,10037.0,10522891606,1048429,196,10079.0,10035.0
2022-06-19,10000.0,10050.0,10000.0,10008.0,7885408104,787944,130,10037.0,10029.0
2022-06-20,10002.0,10042.0,10000.0,10013.0,10156298525,1014341,188,10008.0,10001.0
2022-06-21,10031.0,10031.0,10000.0,10006.0,7157036530,715293,139,10013.0,10028.0
2022-06-22,10029.0,10030.0,10000.0,10014.0,4672236804,466586,113,10006.0,10005.0
2022-06-25,10014.0,10030.0,10000.0,10005.0,8711688574,870752,164,10014.0,10001.0
2022-06-26,10001.0,10032.0,9900.0,9984.0,9890757574,990701,118,10005.0,10000.0
2022-06-27,9822.0,9999.0,9820.0,9831.0,16085432580,1636147,179,9984.0,9849.0
2022-06-28,9890.0,9999.0,9860.0,9916.0,2969206587,299445,75,9831.0,9931.0
2022-06-29,9802.0,9980.0,9801.0,9835.0,5125043824,521095,100,9916.0,9898.0
2022-07-02,9835.0,9945.0,9830.0,9838.0,7861352748,799046,119,9835.0,9900.0
2022-07-03,9820.0,9945.0,9820.0,9857.0,10657850846,1081241,125,9838.0,9821.0
2022-07-04,9821.0,9944.0,9820.0,9829.0,6575922286,669019,93,9857.0,9844.0
2022-07-05,9832.0,9900.0,9830.0,9839.0,4359846795,443105,92,9829.0,9853.0
2022-07-06,9832.0,9869.0,9810.0,9829.0,6786214322,690407,77,9839.0,9811.0
2022-07-09,9840.0,9920.0,9830.0,9841.0,4556363781,462982,75,9829.0,9840.0
2022-07-11,9830.0,9899.0,9700.0,9811.0,4980121893,507624,100,9841.0,9863.0
2022-07-12,9857.0,9857.0,9661.0,9715.0,2692907423,277180,95,9811.0,9754.0
2022-07-13,9840.0,9840.0,9666.0,9710.0,2178833768,224402,102,9715.0,9726.0
2022-07-16,9672.0,9854.0,9600.0,9614.0,11276256611,1172952,113,9710.0,9601.0
2022-07-17,9552.0,9610.0,9450.0,9473.0,9631720999,1016724,100,9614.0,9450.0
2022-07-19,9500.0,9570.0,9401.0,9485.0,1294782744,136514,49,9473.0,9480.0
2022-07-20,9563.0,9564.0,9461.0,9511.0,1276955202,134266,66,9485.0,9487.0
2022-07-23,9453.0,9619.0,9453.0,9535.0,2170877789,227665,108,9511.0,9580.0
2022-07-24,9600.0,9600.0,9321.0,9407.0,16316844462,1734526,147,9535.0,9450.0
2022-07-25,9320.0,9450.0,9142.0,9171.0,8344314351,909856,94,9407.0,9187.0
2022-07-26,9142.0,9251.0,9055.0,9108.0,7764555695,852523,103,9171.0,9101.0
2022-07-27,9178.0,9239.0,9082.0,9173.0,2285440921,249151,60,9108.0,9180.0
2022-07-30,9200.0,9200.0,9001.0,9120.0,3884125580,425870,133,9173.0,9003.0
2022-07-31,9180.0,9180.0,8900.0,9032.0,8650759496,957759,101,9120.0,8986.0
2022-08-01,8863.0,9019.0,8701.0,8853.0,13636889296,1540324,105,9032.0,8860.0
2022-08-02,8854.0,9019.0,8850.0,8983.0,7024448268,781952,136,8853.0,9018.0
2022-08-03,8954.0,9100.0,8954.0,9078.0,6460329904,711639,77,8983.0,9100.0
2022-08-06,9051.0,9250.0,9051.0,9200.0,24308363208,2642336,207,9078.0,9250.0
2022-08-09,9150.0,9250.0,9081.0,9192.0,20593062151,2240274,157,9200.0,9200.0
2022-08-10,9192.0,9200.0,9083.0,9141.0,2513689162,274988,65,9192.0,9105.0
2022-08-13,9106.0,9400.0,9106.0,9242.0,169793300621,18371790,497,9141.0,9278.0
2022-08-14,9298.0,9299.0,9122.0,9194.0,17815944804,1937861,119,9242.0,9151.0
2022-08-15,9140.0,9230.0,9091.0,9162.0,22459232470,2451426,118,9194.0,9227.0
2022-08-16,9247.0,9260.0,9185.0,9237.0,9428261394,1020741,105,9162.0,9200.0
2022-08-17,9220.0,9240.0,9140.0,9182.0,14361943865,1564226,93,9237.0,9233.0
2022-08-20,9130.0,9200.0,9020.0,9058.0,11908216297,1314712,110,9182.0,9020.0
2022-08-21,9029.0,9120.0,8961.0,9021.0,86208630484,9556534,269,9058.0,9020.0
