date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-11,5023.0,5023.0,5023.0,5023.0,1054828608629,209999723,2796717,1000.0,5023.0
2021-08-14,5274.0,5274.0,5274.0,5088.0,4064919678,770747,10412,5023.0,5274.0
2021-08-15,5342.0,5342.0,5342.0,5342.0,15929176250,2981875,10814,5088.0,5342.0
2021-08-22,5609.0,5609.0,5609.0,5609.0,35329627051,6298739,18044,5342.0,5609.0
2021-08-23,5889.0,5889.0,5889.0,5889.0,37947320307,6443763,15470,5609.0,5889.0
2021-08-24,6183.0,6183.0,6183.0,6183.0,69522239385,11244095,17845,5889.0,6183.0
2021-08-25,6492.0,6492.0,6492.0,6492.0,76216346172,11740041,21129,6183.0,6492.0
2021-08-28,6816.0,6816.0,6816.0,6816.0,79397368800,11648675,22640,6492.0,6816.0
2021-08-29,7156.0,7156.0,7156.0,7156.0,89953539096,12570366,33693,6816.0,7156.0
2021-08-30,7513.0,7513.0,7513.0,7513.0,217301308862,28923374,51347,7156.0,7513.0
2021-08-31,7888.0,7888.0,7888.0,7888.0,38506068688,4881601,5630,7513.0,7888.0
2021-09-04,8282.0,8282.0,8282.0,8282.0,107085903874,12929957,37456,7888.0,8282.0
2021-09-05,8696.0,8696.0,8696.0,8696.0,68808030472,7912607,37886,8282.0,8696.0
2021-09-06,9130.0,9130.0,9130.0,9130.0,155635147580,17046566,91286,8696.0,9130.0
2021-09-07,9586.0,9586.0,9586.0,9586.0,330011451228,34426398,117988,9130.0,9586.0
2021-09-08,10065.0,10065.0,10065.0,10065.0,287245085325,28539005,179395,9586.0,10065.0
2021-09-11,10568.0,10568.0,10568.0,10568.0,334966899984,31696338,46418,10065.0,10568.0
2021-09-12,11096.0,11096.0,11096.0,11096.0,368991388296,33254451,58461,10568.0,11096.0
2021-09-13,11650.0,11650.0,11650.0,11650.0,618903885050,53124797,119094,11096.0,11650.0
2021-09-18,12232.0,12232.0,12232.0,12232.0,628910714168,51415199,83972,11650.0,12232.0
2021-09-19,12300.0,12490.0,11621.0,11809.0,1745445894530,147810149,175914,12232.0,11621.0
2021-09-20,11219.0,11219.0,11219.0,11219.0,155258899575,13838925,3346,11809.0,11219.0
2021-09-21,10659.0,10659.0,10659.0,10659.0,93981554172,8817108,1797,11219.0,10659.0
2021-09-22,10200.0,11111.0,10127.0,10180.0,1640694872981,161168920,324713,10659.0,10131.0
2021-09-25,10270.0,10600.0,9773.0,10114.0,513033428744,50725203,155749,10180.0,10020.0
2021-09-26,10110.0,10180.0,9609.0,9697.0,470998403049,48573994,66548,10114.0,9620.0
2021-09-28,9500.0,9984.0,9250.0,9515.0,219091710535,23025410,58208,9697.0,9401.0
2021-09-29,9500.0,9990.0,9251.0,9805.0,317378179712,32369144,37899,9515.0,9990.0
2021-10-02,10295.0,10295.0,10011.0,10282.0,551491976075,53635118,34726,9805.0,10295.0
2021-10-03,10295.0,10380.0,9810.0,10066.0,254441459854,25277321,29097,10282.0,10061.0
2021-10-04,9999.0,10230.0,9900.0,10071.0,136464263398,13549861,24498,10066.0,10082.0
2021-10-06,10200.0,10230.0,9858.0,9960.0,144997726193,14557930,21335,10071.0,9935.0
2021-10-09,9935.0,9940.0,9462.0,9515.0,240504523735,25276574,17483,9960.0,9462.0
2021-10-10,9299.0,9462.0,9100.0,9271.0,100994385722,10893592,17730,9515.0,9371.0
2021-10-11,9220.0,9559.0,9220.0,9339.0,71032340110,7605606,13067,9271.0,9254.0
2021-10-12,9250.0,9280.0,8873.0,8921.0,283284153819,31753079,9958,9339.0,8873.0
2021-10-13,8888.0,9348.0,8710.0,9049.0,145128113505,16037779,12456,8921.0,9270.0
2021-10-16,9501.0,9501.0,9360.0,9501.0,102092345518,10745877,8659,9049.0,9501.0
2021-10-17,9650.0,9670.0,9062.0,9289.0,182554659010,19651829,12345,9501.0,9190.0
2021-10-18,9030.0,9286.0,8966.0,9111.0,76113403061,8353882,9847,9289.0,9199.0
