date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-09-05,200000.0,200000.0,200000.0,200000.0,14450000000,72250,29,200000.0,200000.0
2020-09-06,200000.0,200000.0,200000.0,200000.0,14310000000,71550,43,200000.0,200000.0
2020-09-07,200000.0,200000.0,200000.0,200000.0,13800000000,69000,12,200000.0,200000.0
2020-09-08,200000.0,200000.0,200000.0,200000.0,2900000000,14500,4,200000.0,200000.0
2020-09-09,200000.0,200000.0,200000.0,200000.0,3350000000,16750,12,200000.0,200000.0
2020-09-12,200000.0,200000.0,200000.0,200000.0,2050000000,10250,10,200000.0,200000.0
2020-09-13,200000.0,200000.0,200000.0,200000.0,1700000000,8500,7,200000.0,200000.0
2020-09-14,200000.0,200000.0,200000.0,200000.0,16300000000,81500,18,200000.0,200000.0
2020-09-15,200000.0,200000.0,200000.0,200000.0,18150000000,90750,28,200000.0,200000.0
2020-09-16,200000.0,200000.0,200000.0,200000.0,12990000000,64950,31,200000.0,200000.0
2021-02-23,200000.0,200000.0,200000.0,200000.0,500000000,2500,2,200000.0,200000.0
2021-12-20,180000.0,180000.0,180000.0,180000.0,180000000,1000,1,200000.0,180000.0
2022-03-15,162000.0,162000.0,162000.0,162000.0,2551500000,15750,10,180000.0,162000.0
2022-03-16,145800.0,170000.0,145800.0,156900.0,1255200000,8000,5,162000.0,170000.0
2022-05-17,141210.0,141210.0,141210.0,141210.0,141210000,1000,1,156900.0,141210.0
2022-05-18,141210.0,141210.0,141210.0,141210.0,141210000,1000,2,141210.0,141210.0
2022-05-28,127089.0,127089.0,127089.0,127089.0,127089000,1000,1,141210.0,127089.0
2022-06-01,126998.0,127000.0,126998.0,126999.0,571495000,4500,4,127089.0,127000.0
2022-06-20,126998.0,126998.0,114300.0,117640.0,588198000,5000,5,126999.0,118300.0
2022-06-26,105876.0,105876.0,105876.0,105876.0,211752000,2000,2,117640.0,105876.0
2022-06-28,95289.0,95310.0,95289.0,95296.0,428832500,4500,5,105876.0,95310.0
2022-07-03,86010.0,93000.0,86010.0,89848.0,584010000,6500,7,95296.0,90000.0
2022-07-12,80864.0,80864.0,80864.0,80864.0,1698144000,21000,3,89848.0,80864.0
2022-07-31,80000.0,80000.0,75000.0,77500.0,155000000,2000,2,80864.0,75000.0
2022-08-01,77500.0,77500.0,77500.0,77500.0,155000000,2000,2,77500.0,77500.0
2022-08-03,85000.0,85250.0,85000.0,85167.0,255500000,3000,2,77500.0,85250.0
2022-08-10,85167.0,85167.0,85167.0,85167.0,85167000,1000,1,85167.0,85167.0
2022-08-28,93683.0,93683.0,93683.0,93683.0,187366000,2000,2,85167.0,93683.0
2022-09-05,103051.0,103051.0,103051.0,103051.0,206102000,2000,1,93683.0,103051.0
2022-09-06,113318.0,113356.0,113318.0,113337.0,226674000,2000,2,103051.0,113356.0
2022-09-12,124670.0,124670.0,124670.0,124670.0,249340000,2000,3,113337.0,124670.0
2022-09-13,137137.0,137137.0,125000.0,130232.0,1034045780,7940,4,124670.0,134000.0
2022-09-14,143250.0,143255.0,134000.0,140168.0,420505000,3000,3,130232.0,143255.0
2022-09-18,154184.0,154184.0,154184.0,154184.0,616736000,4000,2,140168.0,154184.0
2022-09-19,169602.0,169602.0,169602.0,169602.0,1229614500,7250,5,154184.0,169602.0
2022-09-20,170000.0,170000.0,152642.0,165692.0,1325537000,8000,4,169602.0,170000.0
2022-09-21,178999.0,178999.0,166000.0,170333.0,510999000,3000,3,165692.0,166000.0
2022-09-24,155034.0,160000.0,153910.0,156764.0,797930060,5090,5,170333.0,160000.0
2022-09-26,141088.0,159900.0,141088.0,147029.0,1396772000,9500,3,156764.0,159900.0
2022-10-02,157900.0,161731.0,157900.0,158806.0,1429257000,9000,5,147029.0,161731.0
2022-10-04,161731.0,169999.0,161731.0,167243.0,250864500,1500,2,158806.0,169999.0
2022-10-09,167243.0,167243.0,150521.0,158321.0,633283000,4000,4,167243.0,164989.0
2022-10-10,169000.0,169000.0,169000.0,169000.0,169000000,1000,1,158321.0,169000.0
2022-10-17,152100.0,168900.0,152100.0,156300.0,625200000,4000,4,169000.0,168900.0
2022-10-18,166600.0,169000.0,166600.0,168040.0,420100000,2500,2,156300.0,169000.0
2022-10-22,169000.0,179500.0,169000.0,173788.0,1042726000,6000,5,168040.0,179500.0
2022-10-23,170000.0,179998.0,162000.0,174039.0,1985787360,11410,7,173788.0,165000.0
2022-10-25,162000.0,185900.0,160000.0,173068.0,2596015000,15000,14,174039.0,160000.0
2022-11-01,160001.0,160001.0,160001.0,160001.0,160001000,1000,1,173068.0,160001.0
2022-11-06,144001.0,144001.0,144001.0,144001.0,432003000,3000,3,160001.0,144001.0
2022-11-07,158400.0,158401.0,158400.0,158400.0,316801000,2000,2,144001.0,158401.0
