date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-12-07,6004.0,6004.0,6004.0,6004.0,404303356,67339,1,750.0,6004.0
2016-01-10,6004.0,6004.0,6004.0,6004.0,16468972,2743,1,6004.0,6004.0
2016-01-13,6004.0,6004.0,6004.0,6004.0,127128696,21174,1,6004.0,6004.0
2016-09-04,6004.0,6004.0,6004.0,6004.0,246164,41,1,6004.0,6004.0
2016-10-01,6004.0,6004.0,6004.0,6004.0,44123396,7349,1,6004.0,6004.0
2016-10-24,6004.0,6004.0,6004.0,6004.0,1699642340,283085,3,6004.0,6004.0
2016-11-06,6101.0,6101.0,6101.0,6101.0,74731149,12249,1,6004.0,6101.0
2016-12-21,5601.0,5601.0,5601.0,5601.0,24969258,4458,1,5601.0,5601.0
2017-01-09,5700.0,5700.0,5700.0,5700.0,1835400,322,1,5601.0,5700.0
2017-02-20,5700.0,5700.0,5700.0,5700.0,1829700,321,1,5700.0,5700.0
2018-05-07,50100.0,50100.0,50100.0,50100.0,116623230900,2327809,124,4700.0,50100.0
2018-05-09,53333.0,53333.0,53333.0,53333.0,8053336333,151001,9,50100.0,53333.0
2018-06-27,53334.0,53334.0,53334.0,53334.0,125708238,2357,2,53333.0,53334.0
2018-07-14,53500.0,53500.0,53500.0,53500.0,117914000,2204,2,53334.0,53500.0
2018-09-01,53500.0,53500.0,53500.0,53500.0,266002000,4972,8,53500.0,53500.0
2018-10-01,56175.0,56175.0,56175.0,56175.0,759429825,13519,2,53500.0,56175.0
2018-10-10,56175.0,56175.0,56175.0,56175.0,18088350,322,1,56175.0,56175.0
2018-11-28,56840.0,56840.0,56840.0,56840.0,2785103160,48999,3,56175.0,56840.0
2020-06-13,2741.0,2741.0,2741.0,2662.0,9322141,3401,2,2662.0,2741.0
2020-07-19,2741.0,2741.0,2741.0,2662.0,3327574,1214,1,2662.0,2741.0
2022-05-22,199150.0,205124.0,193176.0,199767.0,450430964077,2254781,716,1.0,193176.0
2022-05-23,193800.0,193800.0,193800.0,198400.0,2997310800,15466,99,199767.0,193800.0
2022-05-24,192450.0,192450.0,192450.0,198300.0,169933350,883,18,198400.0,192450.0
2022-05-25,192400.0,192400.0,192400.0,197300.0,2235880400,11621,23,198300.0,192400.0
2022-05-28,191400.0,191400.0,191400.0,196150.0,2547151200,13308,27,197300.0,191400.0
2022-05-29,190300.0,190300.0,190300.0,196050.0,201337400,1058,3,196150.0,190300.0
2022-05-30,190200.0,190200.0,190200.0,196000.0,65428800,344,9,196050.0,190200.0
2022-05-31,190150.0,190150.0,190150.0,196000.0,52671550,277,6,196000.0,190150.0
2022-06-01,190150.0,190150.0,190150.0,195650.0,831145650,4371,8,196000.0,190150.0
2022-06-06,189800.0,189800.0,189800.0,195650.0,5694000,30,1,195650.0,189800.0
2022-06-07,185900.0,185900.0,185900.0,194650.0,1289402400,6936,17,195650.0,185900.0
2022-06-08,188850.0,188850.0,188850.0,194450.0,451351500,2390,7,194650.0,188850.0
2022-06-11,188650.0,188650.0,188650.0,194250.0,407106700,2158,6,194450.0,188650.0
2022-06-12,188450.0,188450.0,188450.0,194050.0,480735950,2551,9,194250.0,188450.0
2022-06-13,188250.0,188250.0,188250.0,193750.0,679770750,3611,20,194050.0,188250.0
2022-06-14,187950.0,187950.0,187950.0,192250.0,3314686200,17636,29,193750.0,187950.0
2022-06-15,186500.0,186500.0,186500.0,188700.0,7888577000,42298,26,192250.0,186500.0
2022-06-18,183050.0,183050.0,183050.0,186600.0,4695781650,25653,14,188700.0,183050.0
2022-06-19,181050.0,181050.0,181050.0,183800.0,6311403000,34860,17,186600.0,181050.0
2022-06-20,178300.0,178300.0,178300.0,181000.0,6188971300,34711,27,183800.0,178300.0
2022-06-21,175600.0,175600.0,175600.0,178200.0,6203245600,35326,22,181000.0,175600.0
2022-06-22,172900.0,172900.0,172900.0,172900.0,6084351000,35190,21,178200.0,172900.0
2022-06-25,167750.0,167750.0,167750.0,167750.0,6869865750,40953,26,172900.0,167750.0
2022-06-26,162750.0,162750.0,162750.0,162750.0,5886993000,36172,26,167750.0,162750.0
2022-06-27,157900.0,157900.0,157900.0,157900.0,5517657600,34944,16,162750.0,157900.0
2022-06-28,153200.0,162600.0,153200.0,154550.0,152004285350,983501,1236,157900.0,153200.0
2022-06-29,153200.0,157900.0,149950.0,151050.0,49176955050,325620,624,154550.0,150400.0
2022-07-02,152900.0,152900.0,146550.0,146650.0,17701247150,120724,285,151050.0,146550.0
2022-07-03,142450.0,144000.0,142300.0,142350.0,17064036700,119860,295,146650.0,142300.0
2022-07-04,138150.0,146600.0,138150.0,145600.0,17158206250,117858,227,142350.0,146600.0
2022-07-05,149950.0,149950.0,149000.0,149950.0,50923450800,339617,394,145600.0,149950.0
2022-07-06,154200.0,154200.0,145500.0,148100.0,20477875500,138292,470,149950.0,145500.0
2022-07-09,143700.0,150000.0,143700.0,144100.0,11764867950,81636,212,148100.0,146450.0
2022-07-11,148400.0,148400.0,139800.0,142850.0,5868409950,41311,164,144100.0,139800.0
2022-07-12,138600.0,142850.0,138600.0,139950.0,6755274750,48690,152,142850.0,140800.0
2022-07-13,136050.0,139800.0,135800.0,135800.0,13324243550,98100,130,139950.0,135800.0
2022-07-16,136850.0,136850.0,131750.0,135100.0,4148461550,30924,173,135800.0,136250.0
2022-07-17,136400.0,139150.0,136400.0,137250.0,5573243900,40082,125,135100.0,139150.0
2022-07-19,141350.0,141350.0,141350.0,140200.0,7502009900,53074,41,137250.0,141350.0
2022-07-20,144400.0,144400.0,144400.0,141200.0,2541440000,17600,25,140200.0,144400.0
2022-07-23,145400.0,145400.0,145400.0,142250.0,2534758200,17433,25,141200.0,145400.0
2022-07-24,146500.0,146500.0,146500.0,143950.0,4174078000,28492,38,142250.0,146500.0
2022-07-25,148250.0,148250.0,139950.0,147950.0,29814648150,201527,288,143950.0,148250.0
2022-07-26,152350.0,152350.0,148350.0,152300.0,16120088400,105836,175,147950.0,152350.0
2022-07-27,156850.0,156850.0,156850.0,153600.0,3168213150,20199,35,152300.0,156850.0
2022-07-30,158200.0,158200.0,158200.0,156400.0,6634117000,41935,30,153600.0,158200.0
2022-07-31,161050.0,161050.0,161050.0,158050.0,3962796300,24606,38,156400.0,161050.0
2022-08-01,162750.0,162750.0,162750.0,159700.0,3955801500,24306,39,158050.0,162750.0
2022-08-02,164450.0,164450.0,164450.0,160800.0,2564597750,15595,18,159700.0,164450.0
2022-08-03,165600.0,165600.0,165600.0,162650.0,4392871200,26527,38,160800.0,165600.0
2022-08-06,167500.0,167500.0,167500.0,164800.0,5063525000,30230,41,162650.0,167500.0
2022-08-09,169700.0,169700.0,159900.0,162300.0,35706965400,220038,411,164800.0,159900.0
