date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-03-15,3950.0,3950.0,3950.0,3950.0,35550000000,9000000,3601,1000.0,3950.0
2022-03-16,4068.0,4068.0,4068.0,4068.0,12234510000,3007500,2349,3950.0,4068.0
2022-03-19,4190.0,4190.0,4190.0,4190.0,10347205000,2469500,1951,4068.0,4190.0
2022-03-26,4315.0,4315.0,4315.0,4315.0,10299905000,2387000,1864,4190.0,4315.0
2022-03-27,4530.0,4530.0,4451.0,4529.0,38020242031,8394851,6674,4315.0,4530.0
2022-03-28,0.0,0.0,0.0,4529.0,38020242031,8394851,6674,4529.0,4530.0
2022-03-29,4664.0,4664.0,4664.0,4664.0,11189299792,2399078,1815,4529.0,4664.0
2022-03-30,4803.0,4803.0,4803.0,4803.0,11563222500,2407500,1903,4664.0,4803.0
2022-04-03,4947.0,4947.0,4947.0,4860.0,4053398655,819365,658,4803.0,4947.0
2022-04-04,5103.0,5103.0,5041.0,5102.0,36726515573,7197834,5633,4860.0,5103.0
2022-04-05,5255.0,5255.0,5255.0,5255.0,10988115665,2090983,1681,5102.0,5255.0
2022-04-06,5412.0,5412.0,5412.0,5412.0,11357563668,2098589,1699,5255.0,5412.0
2022-04-09,5570.0,5570.0,5290.0,5570.0,53432026560,9597898,7641,5412.0,5570.0
2022-04-10,5840.0,5840.0,5840.0,5790.0,8955353840,1533451,1163,5570.0,5840.0
2022-04-11,5960.0,5960.0,5960.0,5960.0,11058249560,1855411,1493,5790.0,5960.0
2022-04-12,6130.0,6130.0,5980.0,6130.0,134060220830,21873287,17374,5960.0,6130.0
2022-04-30,6310.0,6310.0,6310.0,6270.0,7869832000,1247200,951,6130.0,6310.0
2022-05-01,6450.0,6450.0,6450.0,6450.0,10351804950,1604931,1287,6270.0,6450.0
2022-05-02,6640.0,6640.0,6640.0,6640.0,10900031440,1641571,1321,6450.0,6640.0
2022-05-07,6830.0,6830.0,6830.0,6830.0,10232371330,1498151,1208,6640.0,6830.0
2022-05-08,7030.0,7030.0,7030.0,7000.0,9190241670,1307289,1054,6830.0,7030.0
2022-05-09,7210.0,7210.0,7210.0,7210.0,11298178150,1567015,1254,7000.0,7210.0
2022-05-10,7420.0,7420.0,7000.0,7240.0,175047180050,24169658,19129,7210.0,7420.0
2022-05-11,7250.0,7450.0,7250.0,7440.0,44988928090,6047512,4819,7240.0,7360.0
2022-05-14,7650.0,7650.0,7220.0,7280.0,36979312930,5079747,3729,7440.0,7220.0
2022-05-15,7070.0,7300.0,7070.0,7120.0,39292318160,5516283,4357,7280.0,7180.0
2022-05-16,6970.0,7280.0,6910.0,6930.0,28784121390,4152581,3375,7120.0,6910.0
2022-05-17,6930.0,7130.0,6730.0,7120.0,46611167140,6551110,5319,6930.0,7120.0
2022-05-18,7220.0,7330.0,7070.0,7300.0,29306747230,4013820,3192,7120.0,7330.0
2022-05-21,7510.0,7510.0,7410.0,7510.0,58410967990,7778758,6368,7300.0,7510.0
2022-05-22,7660.0,7730.0,7510.0,7730.0,106278409900,13751660,11133,7510.0,7730.0
2022-05-23,7940.0,7960.0,7500.0,7670.0,176809455730,23051251,18849,7730.0,7960.0
2022-05-24,7900.0,7900.0,7900.0,7900.0,270309117600,34216344,15194,7670.0,7900.0
2022-05-25,8130.0,8130.0,8130.0,8130.0,37367919000,4596300,3671,7900.0,8130.0
2022-05-28,8370.0,8370.0,8370.0,8370.0,11270246850,1346505,1084,8130.0,8370.0
2022-05-29,8620.0,8620.0,8620.0,8620.0,10826185560,1255938,1029,8370.0,8620.0
2022-05-30,8870.0,8870.0,8870.0,8870.0,11928074420,1344766,1100,8620.0,8870.0
2022-06-18,8650.0,9130.0,8610.0,8820.0,154504554550,17521464,12769,8870.0,9130.0
2022-06-19,9080.0,9080.0,9080.0,9080.0,13246512360,1458867,1196,8820.0,9080.0
2022-06-20,9350.0,9350.0,9080.0,9340.0,53919614010,5772506,4712,9080.0,9350.0
2022-06-21,9250.0,9620.0,9060.0,9430.0,120155214120,12742242,10251,9340.0,9620.0
2022-06-22,9710.0,9710.0,9500.0,9710.0,95419071020,9828128,8109,9430.0,9710.0
2022-06-25,10000.0,10000.0,10000.0,10000.0,25320780000,2532078,2071,9710.0,10000.0
2022-06-26,10300.0,10300.0,10300.0,10270.0,9697388200,941494,772,10000.0,10300.0
2022-06-27,10570.0,10570.0,10570.0,10350.0,2897712650,274145,224,10270.0,10570.0
2022-06-28,10660.0,10660.0,10660.0,10660.0,11422573760,1071536,640,10350.0,10660.0
2022-06-29,10970.0,10970.0,10740.0,10970.0,75018397040,6839017,5642,10660.0,10970.0
2022-07-02,11290.0,11290.0,11110.0,11290.0,70930732980,6282762,5186,10970.0,11290.0
2022-07-03,11620.0,11620.0,11450.0,11620.0,43693629490,3760722,2984,11290.0,11620.0
2022-07-04,11960.0,11960.0,11950.0,11960.0,75333362900,6298806,5190,11620.0,11960.0
2022-07-05,12310.0,12310.0,12310.0,12310.0,19077988760,1549796,1256,11960.0,12310.0
2022-07-06,12670.0,12670.0,12670.0,12670.0,23528240680,1857004,1533,12310.0,12670.0
2022-07-09,13050.0,13050.0,12290.0,12940.0,267226159120,20651062,16923,12670.0,13050.0
2022-07-11,13310.0,13320.0,12930.0,13300.0,135693000400,10204404,8331,12940.0,13320.0
2022-08-01,13500.0,13500.0,13100.0,13440.0,23389766650,1740631,871,13250.0,13100.0
2022-08-02,13040.0,13840.0,13040.0,13510.0,207202528450,15336517,12891,13440.0,13040.0
2022-08-03,13110.0,13410.0,13110.0,13110.0,64068394760,4886808,3958,13510.0,13110.0
2022-08-06,12720.0,12720.0,12720.0,12720.0,19913274480,1565509,781,13110.0,12720.0
2022-08-09,12340.0,12340.0,12340.0,12340.0,16648350580,1349137,1088,12720.0,12340.0
2022-08-10,11970.0,11970.0,11970.0,11970.0,15675876090,1309597,561,12340.0,11970.0
2022-08-13,11620.0,11620.0,11620.0,11620.0,16163664020,1391021,1098,11970.0,11620.0
2022-08-14,11280.0,11280.0,11280.0,11280.0,15557409840,1379203,637,11620.0,11280.0
2022-08-15,10950.0,11500.0,10950.0,11030.0,106975555710,9700465,7956,11280.0,11150.0
2022-08-16,11280.0,11360.0,10700.0,10920.0,38264298540,3502815,2900,11030.0,10700.0
2022-08-17,10600.0,10620.0,10600.0,10600.0,19090274180,1800968,1325,10920.0,10600.0
2022-08-20,10290.0,10290.0,10290.0,10380.0,6821704050,662945,337,10600.0,10290.0
2022-08-21,10070.0,10070.0,10070.0,10280.0,3043939460,302278,209,10380.0,10070.0
2022-08-22,9980.0,10580.0,9980.0,10230.0,152393274120,14897309,11604,10280.0,10580.0
2022-08-23,10530.0,10530.0,10530.0,10530.0,16417217700,1559090,1007,10230.0,10530.0
2022-08-24,10840.0,10840.0,10220.0,10660.0,62335171050,5848554,4369,10530.0,10600.0
2022-08-27,10380.0,10890.0,10350.0,10450.0,80924836880,7741966,6015,10660.0,10770.0
2022-08-28,10760.0,10760.0,10140.0,10350.0,43779447070,4228475,3132,10450.0,10140.0
2022-08-29,10060.0,10380.0,10040.0,10100.0,87892562370,8698652,6569,10350.0,10040.0
2022-08-30,9900.0,10250.0,9800.0,9960.0,99398461110,9981226,8210,10100.0,10120.0
2022-08-31,10140.0,10250.0,10080.0,10230.0,35271754710,3448434,2721,9960.0,10250.0
2022-09-03,10470.0,10470.0,9930.0,9980.0,36900506550,3696989,2946,10230.0,9930.0
2022-09-04,10000.0,10230.0,9760.0,10080.0,15725410940,1560665,1264,9980.0,10040.0
2022-09-05,9870.0,10230.0,9780.0,10000.0,26629105360,2662760,2056,10080.0,10080.0
2022-09-06,9990.0,10090.0,9760.0,9860.0,9555659110,969222,805,10000.0,9800.0
2022-09-07,10000.0,10000.0,9570.0,9620.0,25457797180,2647392,1940,9860.0,9570.0
2022-09-10,9620.0,9850.0,9340.0,9510.0,11774733910,1237956,986,9620.0,9340.0
2022-09-11,9230.0,9230.0,9230.0,9470.0,1254227780,135886,78,9510.0,9230.0
2022-09-12,9190.0,9190.0,9190.0,9460.0,261694440,28476,26,9470.0,9190.0
2022-09-13,9180.0,9180.0,9180.0,9450.0,447332220,48729,45,9460.0,9180.0
2022-09-14,9170.0,9170.0,9170.0,9440.0,296521120,32336,20,9450.0,9170.0
2022-09-18,9160.0,9160.0,9160.0,9410.0,873726600,95385,61,9440.0,9160.0
